Host,Parasitoid,Temp,Treat,Sex,individual,body_weight
PAL,A,24,N,F,18,0.132
PAL,A,24,N,F,19,0.145
PAL,A,24,N,F,20,0.156
PAL,G,24,N,F,1,0.17
PAL,G,24,N,F,2,0.18
PAL,G,24,N,F,3,0.16
PAL,G,24,N,F,4,0.196
PAL,G,24,N,F,5,0.124
PAL,G,24,N,F,6,0.17
PAL,G,24,N,F,7,0.163
PAL,G,24,N,F,8,0.108
PAL,G,24,N,F,9,0.122
PAL,G,24,N,F,10,0.172
PAL,G,24,N,F,11,0.121
PAL,G,24,N,F,12,0.116
PAL,G,24,N,F,13,0.151
PAL,G,24,N,F,14,0.117
PAL,G,24,N,F,15,0.13
PAL,G,24,N,F,16,0.136
PAL,G,24,N,F,17,0.121
PAL,G,24,N,F,18,0.12
PAL,G,24,N,F,19,0.107
PAL,G,24,N,F,20,0.107
PAL,L,24,N,F,1,0.132
PAL,L,24,N,F,2,0.117
PAL,L,24,N,F,3,0.125
PAL,L,24,N,F,4,0.109
PAL,L,24,N,F,5,0.122
PAL,L,24,N,F,6,0.114
PAL,L,24,N,F,7,0.128
PAL,L,24,N,F,8,0.13
PAL,L,24,N,F,9,0.11
PAL,L,24,N,F,10,0.14
PAL,L,24,N,F,11,0.12
PAL,L,24,N,F,12,0.122
PAL,L,24,N,F,13,0.115
PAL,L,24,N,F,14,0.135
PAL,L,24,N,F,15,0.141
PAL,L,24,N,F,16,0.127
PAL,L,24,N,F,17,0.138
PAL,L,24,N,F,18,0.109
PAL,L,24,N,F,19,0.109
PAL,L,24,N,F,20,0.147
PAL,D,24,N,F,1,0.099
PAL,D,24,N,F,2,0.101
PAL,D,24,N,F,3,0.105
PAL,D,24,N,F,4,0.102
PAL,D,24,N,F,5,0.096
PAL,D,24,N,F,6,0.103
PAL,D,24,N,F,7,0.093
PAL,D,24,N,F,8,0.086
PAL,D,24,N,F,9,0.087
PAL,D,24,N,F,10,0.093
PAL,D,24,N,F,11,0.1
PAL,D,24,N,F,12,0.099
PAL,D,24,N,F,13,0.099
PAL,D,24,N,F,14,0.103
PAL,D,24,N,F,15,0.083
PAL,D,24,N,F,16,0.094
PAL,D,24,N,F,17,0.09
PAL,D,24,N,F,18,0.092
PAL,D,24,N,F,19,0.089
PAL,D,24,N,F,20,
PAL,A,20,N,F,1,0.154
PAL,A,20,N,F,2,0.134
PAL,A,20,N,F,3,0.119
PAL,A,20,N,F,4,0.169
PAL,A,20,N,F,5,0.157
PAL,A,20,N,F,6,0.156
PAL,A,20,N,F,7,0.133
PAL,A,20,N,F,8,0.136
PAL,A,20,N,F,9,0.156
