"Host","Parasitoid","Temp","H/P","Sex","individual","body_weight"
"BIR","A",24,"H","F",1,0.141
"BIR","A",24,"H","F",2,0.112
"BIR","A",24,"H","F",3,0.139
"BIR","A",24,"H","F",4,0.168
"BIR","A",24,"H","F",5,0.13
"BIR","A",24,"H","F",6,0.154
"BIR","A",24,"H","F",7,0.129
"BIR","A",24,"H","F",8,0.197
"BIR","A",24,"H","F",9,0.174
"BIR","A",24,"H","F",10,0.185
"BIR","A",24,"H","F",11,0.144
"BIR","A",24,"H","F",12,0.144
"BIR","A",24,"H","F",13,0.135
"BIR","A",24,"H","F",14,0.137
"BIR","A",24,"H","F",15,0.134
"BIR","A",24,"H","F",16,0.146
"BIR","A",24,"H","F",17,0.13
"BIR","A",24,"H","F",18,0.163
"BIR","A",24,"H","F",19,0.112
"BIR","A",24,"H","F",20,
"BIR","G",24,"H","F",1,0.132
"BIR","G",24,"H","F",2,0.14
"BIR","G",24,"H","F",3,0.153
"BIR","G",24,"H","F",4,0.177
"BIR","G",24,"H","F",5,0.227
"BIR","G",24,"H","F",6,0.199
"BIR","G",24,"H","F",7,0.151
"BIR","G",24,"H","F",8,0.156
"BIR","G",24,"H","F",9,0.146
"BIR","G",24,"H","F",10,0.144
"BIR","G",24,"H","F",11,0.164
"BIR","G",24,"H","F",12,0.173
"BIR","G",24,"H","F",13,0.148
"BIR","G",24,"H","F",14,0.179
"BIR","G",24,"H","F",15,0.164
"BIR","G",24,"H","F",16,0.146
"BIR","G",24,"H","F",17,0.149
"BIR","G",24,"H","F",18,0.174
"BIR","G",24,"H","F",19,0.134
"BIR","G",24,"H","F",20,0.153
"BIR","L",24,"H","F",1,0.161
"BIR","L",24,"H","F",2,0.145
"BIR","L",24,"H","F",3,0.158
"BIR","L",24,"H","F",4,0.171
"BIR","L",24,"H","F",5,0.153
"BIR","L",24,"H","F",6,0.157
"BIR","L",24,"H","F",7,0.235
"BIR","L",24,"H","F",8,0.167
"BIR","L",24,"H","F",9,0.148
"BIR","L",24,"H","F",10,0.161
"BIR","L",24,"H","F",11,0.144
"BIR","L",24,"H","F",12,0.154
"BIR","L",24,"H","F",13,0.152
"BIR","L",24,"H","F",14,0.143
"BIR","L",24,"H","F",15,0.172
"BIR","L",24,"H","F",16,0.158
"BIR","L",24,"H","F",17,0.171
"BIR","L",24,"H","F",18,0.128
"BIR","L",24,"H","F",19,0.17
"BIR","L",24,"H","F",20,0.171
"BIR","C",24,"H","F",1,0.203
"BIR","C",24,"H","F",2,0.188
"BIR","C",24,"H","F",3,0.17
"BIR","C",24,"H","F",4,0.169
"BIR","C",24,"H","F",5,0.18
"BIR","C",24,"H","F",6,0.198
"BIR","C",24,"H","F",7,0.167
"BIR","C",24,"H","F",8,0.167
"BIR","C",24,"H","F",9,0.183
"BIR","C",24,"H","F",10,0.238
"BIR","C",24,"H","F",11,0.168
"BIR","C",24,"H","F",12,0.203
"BIR","C",24,"H","F",13,0.169
"BIR","C",24,"H","F",14,0.157
"BIR","C",24,"H","F",15,0.21
"BIR","C",24,"H","F",16,0.171
"BIR","C",24,"H","F",17,0.154
